SNO,dimension,bandgap1 ,bandgap2 ,dielectric_constant_1,dielectric_constant_2,mol_wt_1,mol_wt_2,size,temperature,work_function_1,work_function_2,volt,wavelength,responsivity
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,346,0.216999241
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,350,0.147265866
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,354,0.139116945
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,358,0.095540966
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,362,0.098249461
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,366,0.087466836
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,370,0.058351354
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,374,0.032083885
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,378,0.030776308
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,382,0.034446186
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,386,0.005019379
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,390,0.029690101
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,394,0.020188176
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,398,0.016625596
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,402,0.024837806
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,406,0.004719092
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,410,0.022301376
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,414,0.01524353
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,418,0.011848786
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,422,0.019848616
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,426,0.004852799
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,430,0.019557797
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,434,0.013522657
